sample_id,sample_type,source_event_id,classification,classification_label,delay_s,alarm_wheels,detection_wheels,false_alarm_wheels,pre_event_false_alarm,wrong_wheel_false_alarm,alarm_events
E02_event_024,event,E02,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.0995407399999948,"FR,RL,RR",RR,"FR,RL,RR",True,True,28
E02_event_025,event,E02,EVENT_OK,及时检出,0.09530698999999743,RR,RR,,False,False,1
E02_event_026,event,E02,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.09525229999999851,"FR,RR",RR,"FR,RR",True,True,5
E02_event_027,event,E02,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.10384802000000093,"FL,FR,RL,RR",RR,"FL,FR,RL,RR",True,True,21
E02_event_028,event,E02,EVENT_OK,及时检出,0.10434113999999539,RR,RR,,False,False,1
E02_event_029,event,E02,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.10890593999999965,"FR,RR",RR,FR,True,True,3
E02_event_030,event,E02,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.11394691000000279,"FL,FR,RR",RR,"FL,FR",True,True,4
E02_event_031,event,E02,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.11601956999999885,"FL,FR,RL,RR",RR,"FL,FR,RL,RR",True,True,35
E02_event_032,event,E02,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.08813982999999581,"RL,RR",RR,RL,False,True,2
E02_event_033,event,E02,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.0929390699999999,"FL,FR,RL,RR",RR,"FL,FR,RL,RR",True,True,24
E02_event_034,event,E02,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.11094009999999344,"FL,FR,RL,RR",RR,"FL,FR,RL,RR",True,True,46
E02_event_035,event,E02,EVENT_OK,及时检出,0.1098334700000052,RR,RR,,False,False,1
E02_event_036,event,E02,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.09327783999999895,"FL,FR,RL,RR",RR,"FL,FR,RL,RR",True,True,39
E02_event_037,event,E02,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.08722941999999989,"FL,FR,RL,RR",RR,"FL,FR,RL",True,True,19
E02_event_038,event,E02,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.10372087999999735,"FL,RR",RR,FL,False,True,2
E02_event_039,event,E02,EVENT_FALSE_ALARM_AND_DETECTED,误报后检出,0.09332238999999731,"FL,FR,RL,RR",RR,"FL,FR,RL,RR",True,True,33
E02_event_040,event,E02,EVENT_OK,及时检出,0.1007836200000014,RR,RR,,False,False,1
