algorithm,case,csv_path,frames,valid_frames,duration_s,false_alarm,alarm_wheels,candidate_entries
quant_optimized,HillRoad/20260714_2_P182_0_180_4W250_robust_highway__Sunny,robust_data_results/cases/HillRoad/20260714_2_P182_0_180_4W250_robust_highway__Sunny/wheel_speed_raw_vs_corrected.csv,431900,286475,4318.99,False,,145
quant_optimized,HillRoad/20260714_3_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260714_3_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,196800,166399,1967.99,False,,130
quant_optimized,HillRoad/20260714_4_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260714_4_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,228600,201395,2285.99,False,,161
quant_optimized,HillRoad/20260714_5_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260714_5_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,175700,151574,1756.99,False,,37
quant_optimized,HillRoad/20260714_6_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260714_6_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,175200,161690,1751.99,False,,68
quant_optimized,HillRoad/20260714_7_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260714_7_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,217000,213556,2169.99,False,,49
quant_optimized,HillRoad/20260714_8_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260714_8_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,289100,264977,2890.99,False,,70
quant_optimized,HillRoad/20260715_1_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260715_1_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,291400,279508,2913.99,False,,132
quant_optimized,HillRoad/20260715_2_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260715_2_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,223700,212761,2236.99,False,,44
quant_optimized,HillRoad/20260715_3_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260715_3_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,173000,167190,1729.99,False,,39
quant_optimized,HillRoad/20260715_4_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260715_4_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,234800,223979,2347.99,False,,53
quant_optimized,HillRoad/20260715_5_P182_0_180_4W250_robust_highway__Sunny,robust_data_results/cases/HillRoad/20260715_5_P182_0_180_4W250_robust_highway__Sunny/wheel_speed_raw_vs_corrected.csv,184300,100983,1842.99,False,,50
quant_optimized,HillRoad/20260715_6_P182_0_180_4W250_robust_highway__Sunny,robust_data_results/cases/HillRoad/20260715_6_P182_0_180_4W250_robust_highway__Sunny/wheel_speed_raw_vs_corrected.csv,245900,121042,2458.99,False,,40
quant_optimized,HillRoad/20260715_7_P182_0_180_4W250_robust_highway__Sunny,robust_data_results/cases/HillRoad/20260715_7_P182_0_180_4W250_robust_highway__Sunny/wheel_speed_raw_vs_corrected.csv,296900,208116,2968.99,False,,91
quant_optimized,Load/20260707_1_P182_Load500kg_0_120_4W260_CityRoad_Sunny,robust_data_results/cases/Load/20260707_1_P182_Load500kg_0_120_4W260_CityRoad_Sunny/wheel_speed_raw_vs_corrected.csv,234900,99065,2348.99,False,,17
quant_optimized,Load/20260707_2_P182_Load500kg_55kph_4W260_SongzeGaojia_Sunny,robust_data_results/cases/Load/20260707_2_P182_Load500kg_55kph_4W260_SongzeGaojia_Sunny/wheel_speed_raw_vs_corrected.csv,102500,98171,1024.99,False,,4
quant_optimized,Load/20260707_3_P182_Load500kg_75kph_4W260_SongzeGaojia_Sunny,robust_data_results/cases/Load/20260707_3_P182_Load500kg_75kph_4W260_SongzeGaojia_Sunny/wheel_speed_raw_vs_corrected.csv,119500,109893,1194.99,False,,8
quant_optimized,Load/20260707_4_P182_Load500kg_0_120_4W260_CityRoad_Sunny,robust_data_results/cases/Load/20260707_4_P182_Load500kg_0_120_4W260_CityRoad_Sunny/wheel_speed_raw_vs_corrected.csv,228800,137679,2287.99,False,,158
quant_optimized,Load/20260707_5_P182_Load500kg_0_120_4W260_CityRoad_Sunny,robust_data_results/cases/Load/20260707_5_P182_Load500kg_0_120_4W260_CityRoad_Sunny/wheel_speed_raw_vs_corrected.csv,233200,179773,2331.99,False,,92
quant_optimized,Load/20260707_6_P182_Load500kg_0_120_4W260_CityRoad_Sunny,robust_data_results/cases/Load/20260707_6_P182_Load500kg_0_120_4W260_CityRoad_Sunny/wheel_speed_raw_vs_corrected.csv,223100,131517,2230.99,False,,71
quant_optimized,Load/20260707_7_P182_Load500kg_0_120_4W260_CityRoad_Sunny,robust_data_results/cases/Load/20260707_7_P182_Load500kg_0_120_4W260_CityRoad_Sunny/wheel_speed_raw_vs_corrected.csv,208900,160658,2088.99,False,,120
quant_optimized,Load/20260707_8_P182_Load500kg_0_120_4W260_CityRoad_Sunny,robust_data_results/cases/Load/20260707_8_P182_Load500kg_0_120_4W260_CityRoad_Sunny/wheel_speed_raw_vs_corrected.csv,242200,181686,2421.99,False,,44
wheel_speed_only_baseline,CityRoad/20260624_1_P182_0_120_4W300_robust_cityroad_Rain,robust_data_results/cases/CityRoad/20260624_1_P182_0_120_4W300_robust_cityroad_Rain/wheel_speed_raw_vs_corrected.csv,246400,207432,2463.99,False,,339
wheel_speed_only_baseline,CityRoad/20260624_2_P182_0_120_4W300_robust_cityroad_Rain,robust_data_results/cases/CityRoad/20260624_2_P182_0_120_4W300_robust_cityroad_Rain/wheel_speed_raw_vs_corrected.csv,522500,241746,5224.99,False,,540
wheel_speed_only_baseline,CityRoad/20260625_1_P182_0_120_4W300_robust_cityroad_Cloud,robust_data_results/cases/CityRoad/20260625_1_P182_0_120_4W300_robust_cityroad_Cloud/wheel_speed_raw_vs_corrected.csv,121300,101466,1212.99,False,,66
wheel_speed_only_baseline,CityRoad/20260625_2_P182_0_120_4W300_robust_cityroad_Cloud,robust_data_results/cases/CityRoad/20260625_2_P182_0_120_4W300_robust_cityroad_Cloud/wheel_speed_raw_vs_corrected.csv,277600,142962,2775.99,False,,235
wheel_speed_only_baseline,CityRoad/20260630_1_P182_0_120_4W300_robust_cityroad_Cloud,robust_data_results/cases/CityRoad/20260630_1_P182_0_120_4W300_robust_cityroad_Cloud/wheel_speed_raw_vs_corrected.csv,145800,107846,1457.99,False,,117
wheel_speed_only_baseline,CityRoad/20260630_2_P182_0_120_4W300_robust_cityroad_Cloud,robust_data_results/cases/CityRoad/20260630_2_P182_0_120_4W300_robust_cityroad_Cloud/wheel_speed_raw_vs_corrected.csv,181200,96814,1811.99,False,,394
wheel_speed_only_baseline,CityRoad/20260702_1_P182_0_120_4W300_robust_cityroad_Rain,robust_data_results/cases/CityRoad/20260702_1_P182_0_120_4W300_robust_cityroad_Rain/wheel_speed_raw_vs_corrected.csv,164000,108117,1639.99,False,,92
