algorithm,sample_id,sample_type,source_event_id,is_augmented,target_wheels,event_time_s,detected_within_window,delay_s,false_alarm,pre_event_false_alarm,wrong_wheel_false_alarm,alarm_wheels,first_alarm_times_s,candidate_entries
quant_baseline,E02_event_026,event,E02,1,RR,39.73378991,True,0.8062100900000004,False,False,False,RR,RR:40.54000000,1
quant_baseline,E02_event_027,event,E02,1,RR,40.27283373,True,0.8071662699999962,False,False,False,RR,RR:41.08000000,1
quant_baseline,E02_event_028,event,E02,1,RR,40.15971877,True,0.8102812300000011,False,False,False,RR,RR:40.97000000,1
quant_baseline,E02_event_029,event,E02,1,RR,39.7665608,True,0.8034391999999997,False,False,False,RR,RR:40.57000000,1
quant_baseline,E02_event_030,event,E02,1,RR,39.91358598,True,0.8064140199999983,False,False,False,RR,RR:40.72000000,1
quant_baseline,E02_event_031,event,E02,1,RR,40.07689915,True,0.8031008499999999,False,False,False,RR,RR:40.88000000,1
quant_baseline,E02_event_032,event,E02,1,RR,39.7841606,True,0.8058394000000035,False,False,False,RR,RR:40.59000000,1
quant_baseline,E02_event_033,event,E02,1,RR,39.99097049,True,0.81902951,False,False,False,RR,RR:40.81000000,1
quant_baseline,E02_event_034,event,E02,1,RR,39.94491022,True,0.805089780000003,False,False,False,RR,RR:40.75000000,1
quant_baseline,E02_event_035,event,E02,1,RR,40.13711474,True,0.8028852599999965,False,False,False,RR,RR:40.94000000,1
quant_baseline,E02_event_036,event,E02,1,RR,39.82801391,True,0.8119860899999978,False,False,False,RR,RR:40.64000000,1
quant_baseline,E02_event_037,event,E02,1,RR,39.73440298,True,0.8055970200000004,False,False,False,RR,RR:40.54000000,1
quant_baseline,E02_event_038,event,E02,1,RR,39.73286983,True,0.8171301699999987,False,False,False,RR,RR:40.55000000,1
quant_baseline,E02_event_039,event,E02,1,RR,39.63032949,True,0.8096705099999966,False,False,False,RR,RR:40.44000000,1
quant_baseline,E02_event_040,event,E02,1,RR,39.71898816,True,0.8310118399999951,False,False,False,RR,RR:40.55000000,1
quant_baseline,E02_event_041,event,E02,1,RR,39.85196142,True,0.8080385799999945,False,False,False,RR,RR:40.66000000,1
quant_baseline,E02_event_042,event,E02,1,RR,40.02564206,True,0.8143579400000007,False,False,False,RR,RR:40.84000000,1
quant_baseline,E02_event_043,event,E02,1,RR,39.6571403,True,0.8028596999999991,False,False,False,RR,RR:40.46000000,1
quant_baseline,E02_event_044,event,E02,1,RR,40.324265,True,0.8057350000000056,False,False,False,RR,RR:41.13000000,1
quant_baseline,E02_event_045,event,E02,1,RR,40.24098484,True,0.8090151599999942,False,False,False,RR,RR:41.05000000,1
quant_baseline,E02_event_046,event,E02,1,RR,39.83536691,True,0.8046330900000029,False,False,False,RR,RR:40.64000000,1
quant_baseline,E02_event_047,event,E02,1,RR,39.57836884,True,0.8116311599999975,False,False,False,RR,RR:40.39000000,1
quant_baseline,E02_event_048,event,E02,1,RR,39.87658602,True,0.81341398,False,False,False,RR,RR:40.69000000,1
quant_baseline,E02_event_049,event,E02,1,RR,40.29446304,True,0.8155369600000029,False,False,False,RR,RR:41.11000000,1
quant_baseline,E02_event_050,event,E02,1,RR,39.99042997,True,0.8095700299999962,False,False,False,RR,RR:40.80000000,1
quant_baseline,E02_normal_001,normal,E02,1,,,False,,False,False,False,,,0
quant_baseline,E02_normal_002,normal,E02,1,,,False,,False,False,False,,,0
quant_baseline,E02_normal_003,normal,E02,1,,,False,,False,False,False,,,1
quant_baseline,E02_normal_004,normal,E02,1,,,False,,False,False,False,,,0
quant_baseline,E02_normal_005,normal,E02,1,,,False,,False,False,False,,,0
quant_baseline,E02_normal_006,normal,E02,1,,,False,,False,False,False,,,0
quant_baseline,E02_normal_007,normal,E02,1,,,False,,False,False,False,,,1
quant_baseline,E02_normal_008,normal,E02,1,,,False,,False,False,False,,,1
quant_baseline,E02_normal_009,normal,E02,1,,,False,,False,False,False,,,0
quant_baseline,E02_normal_010,normal,E02,1,,,False,,False,False,False,,,0
quant_baseline,E03_event_000,event,E03,0,RR,40.0,True,0.8400000000000034,False,False,False,RR,RR:40.84000000,1
quant_baseline,E03_event_001,event,E03,1,RR,40.4686762,True,0.841323800000005,False,False,False,RR,RR:41.31000000,1
quant_baseline,E03_event_002,event,E03,1,RR,40.11882785,True,0.8411721499999985,False,False,False,RR,RR:40.96000000,1
quant_baseline,E03_event_003,event,E03,1,RR,39.92609743,True,0.8439025700000045,False,False,False,RR,RR:40.77000000,1
quant_baseline,E03_event_004,event,E03,1,RR,40.39703467,True,0.8329653300000004,False,False,False,RR,RR:41.23000000,1
quant_baseline,E03_event_005,event,E03,1,RR,39.70285555,True,0.8371444499999967,False,False,False,RR,RR:40.54000000,1
quant_baseline,E03_event_006,event,E03,1,RR,39.56778267,True,0.8422173299999969,False,False,False,RR,RR:40.41000000,1
quant_baseline,E03_event_007,event,E03,1,RR,39.79042816,True,0.8295718399999998,False,False,False,RR,RR:40.62000000,1
quant_baseline,E03_event_008,event,E03,1,RR,40.3096517,True,0.8403482999999952,False,False,False,RR,RR:41.15000000,1
quant_baseline,E03_event_009,event,E03,1,RR,39.52862284,True,0.8313771600000024,False,False,False,RR,RR:40.36000000,1
quant_baseline,E03_event_010,event,E03,1,RR,39.64176354,True,0.8382364599999974,False,False,False,RR,RR:40.48000000,1
quant_baseline,E03_event_011,event,E03,1,RR,39.62245896,True,0.8375410399999978,False,False,False,RR,RR:40.46000000,1
quant_baseline,E03_event_012,event,E03,1,RR,39.93727892,True,0.842721080000004,False,False,False,RR,RR:40.78000000,1
quant_baseline,E03_event_013,event,E03,1,RR,39.62503757,True,0.8449624299999954,False,False,False,RR,RR:40.47000000,1
quant_baseline,E03_event_014,event,E03,1,RR,40.16805618,True,0.8419438199999973,False,False,False,RR,RR:41.01000000,1
quant_baseline,E03_event_015,event,E03,1,RR,40.03443911,True,0.8355608899999964,False,False,False,RR,RR:40.87000000,1
quant_baseline,E03_event_016,event,E03,1,RR,39.88270995,True,0.83729005,False,False,False,RR,RR:40.72000000,1
quant_baseline,E03_event_017,event,E03,1,RR,40.02501801,True,0.8349819900000028,False,False,False,RR,RR:40.86000000,1
quant_baseline,E03_event_018,event,E03,1,RR,39.84385418,True,0.8361458199999987,False,False,False,RR,RR:40.68000000,1
quant_baseline,E03_event_019,event,E03,1,RR,39.57129779,True,0.8387022099999939,False,False,False,RR,RR:40.41000000,1
quant_baseline,E03_event_020,event,E03,1,RR,39.69246577,True,0.8375342300000028,False,False,False,RR,RR:40.53000000,1
quant_baseline,E03_event_021,event,E03,1,RR,40.49872825,True,0.8412717500000042,False,False,False,RR,RR:41.34000000,1
quant_baseline,E03_event_022,event,E03,1,RR,40.00428971,True,0.8457102899999995,False,False,False,RR,RR:40.85000000,1
quant_baseline,E03_event_023,event,E03,1,RR,39.68903888,True,0.8409611200000029,False,False,False,RR,RR:40.53000000,1
quant_baseline,E03_event_024,event,E03,1,RR,39.92453307,True,0.8354669299999955,False,False,False,RR,RR:40.76000000,1
quant_baseline,E03_event_025,event,E03,1,RR,40.08224634,True,0.8377536600000042,False,False,False,RR,RR:40.92000000,1
quant_baseline,E03_event_026,event,E03,1,RR,40.19013556,True,0.8398644399999995,False,False,False,RR,RR:41.03000000,1
quant_baseline,E03_event_027,event,E03,1,RR,39.70405397,True,0.8459460300000003,False,False,False,RR,RR:40.55000000,1
quant_baseline,E03_event_028,event,E03,1,RR,40.26119452,True,0.8388054800000049,False,False,False,RR,RR:41.10000000,1
quant_baseline,E03_event_029,event,E03,1,RR,40.34092361,True,0.8390763900000024,False,False,False,RR,RR:41.18000000,1
quant_baseline,E03_event_030,event,E03,1,RR,40.37965559,True,0.8403444100000002,False,False,False,RR,RR:41.22000000,1
quant_baseline,E03_event_031,event,E03,1,RR,39.87483927,True,0.8351607299999984,False,False,False,RR,RR:40.71000000,1
quant_baseline,E03_event_032,event,E03,1,RR,40.16596358,True,0.8440364199999948,False,False,False,RR,RR:41.01000000,1
quant_baseline,E03_event_033,event,E03,1,RR,39.98740494,True,0.8425950600000007,False,False,False,RR,RR:40.83000000,1
quant_baseline,E03_event_034,event,E03,1,RR,39.90248344,True,0.8375165600000045,False,False,False,RR,RR:40.74000000,1
quant_baseline,E03_event_035,event,E03,1,RR,40.17664061,True,0.8433593900000034,False,False,False,RR,RR:41.02000000,1
quant_baseline,E03_event_036,event,E03,1,RR,39.92884026,True,0.8411597400000019,False,False,False,RR,RR:40.77000000,1
quant_baseline,E03_event_037,event,E03,1,RR,39.89918463,True,0.8408153700000014,False,False,False,RR,RR:40.74000000,1
quant_baseline,E03_event_038,event,E03,1,RR,40.41320964,True,0.836790360000002,False,False,False,RR,RR:41.25000000,1
quant_baseline,E03_event_039,event,E03,1,RR,39.95756395,True,0.8424360499999963,False,False,False,RR,RR:40.80000000,1
quant_baseline,E03_event_040,event,E03,1,RR,39.61915205,True,0.8408479500000041,False,False,False,RR,RR:40.46000000,1
quant_baseline,E03_event_041,event,E03,1,RR,40.47187334,True,0.8381266600000004,False,False,False,RR,RR:41.31000000,1
quant_baseline,E03_event_042,event,E03,1,RR,40.06269174,True,0.8373082600000004,False,False,False,RR,RR:40.90000000,1
quant_baseline,E03_event_043,event,E03,1,RR,39.51524072,True,0.8447592799999981,False,False,False,RR,RR:40.36000000,1
quant_baseline,E03_event_044,event,E03,1,RR,40.03690266,True,0.8430973399999999,False,False,False,RR,RR:40.88000000,1
quant_baseline,E03_event_045,event,E03,1,RR,40.45994654,True,0.84005346,False,False,False,RR,RR:41.30000000,1
quant_baseline,E03_event_046,event,E03,1,RR,39.54197071,True,0.8380292900000015,False,False,False,RR,RR:40.38000000,1
quant_baseline,E03_event_047,event,E03,1,RR,40.45712488,True,0.8428751199999951,False,False,False,RR,RR:41.30000000,1
quant_baseline,E03_event_048,event,E03,1,RR,40.36310329,True,0.8468967100000029,False,False,False,RR,RR:41.21000000,1
quant_baseline,E03_event_049,event,E03,1,RR,39.7509628,True,0.8390371999999999,False,False,False,RR,RR:40.59000000,1
quant_baseline,E03_event_050,event,E03,1,RR,40.22929658,True,0.840703419999997,False,False,False,RR,RR:41.07000000,1
quant_baseline,E03_normal_001,normal,E03,1,,,False,,False,False,False,,,0
quant_baseline,E03_normal_002,normal,E03,1,,,False,,False,False,False,,,0
quant_baseline,E03_normal_003,normal,E03,1,,,False,,False,False,False,,,1
quant_baseline,E03_normal_004,normal,E03,1,,,False,,False,False,False,,,0
quant_baseline,E03_normal_005,normal,E03,1,,,False,,False,False,False,,,0
quant_baseline,E03_normal_006,normal,E03,1,,,False,,False,False,False,,,0
quant_baseline,E03_normal_007,normal,E03,1,,,False,,False,False,False,,,0
quant_baseline,E03_normal_008,normal,E03,1,,,False,,False,False,False,,,0
quant_baseline,E03_normal_009,normal,E03,1,,,False,,False,False,False,,,0
quant_baseline,E03_normal_010,normal,E03,1,,,False,,False,False,False,,,0
quant_baseline,E04_event_000,event,E04,0,RR,40.0,True,0.8500000000000014,False,False,False,RR,RR:40.85000000,1
quant_baseline,E04_event_001,event,E04,1,RR,39.61191707,True,0.8480829300000039,False,False,False,RR,RR:40.46000000,1
quant_baseline,E04_event_002,event,E04,1,RR,40.173843,True,0.8461570000000052,False,False,False,RR,RR:41.02000000,1
quant_baseline,E04_event_003,event,E04,1,RR,39.70056537,True,0.8494346299999975,False,False,False,RR,RR:40.55000000,1
quant_baseline,E04_event_004,event,E04,1,RR,39.76171427,True,0.8382857300000026,False,False,False,RR,RR:40.60000000,1
quant_baseline,E04_event_005,event,E04,1,RR,39.54140368,True,0.8485963199999986,False,False,False,RR,RR:40.39000000,1
quant_baseline,E04_event_006,event,E04,1,RR,39.736281,True,0.8437190000000001,False,False,False,RR,RR:40.58000000,1
quant_baseline,E04_event_007,event,E04,1,RR,40.04022864,True,0.8397713600000003,False,False,False,RR,RR:40.88000000,1
quant_baseline,E04_event_008,event,E04,1,RR,39.98782469,True,0.8421753100000018,False,False,False,RR,RR:40.83000000,1
quant_baseline,E04_event_009,event,E04,1,RR,39.98150841,True,0.8484915899999947,False,False,False,RR,RR:40.83000000,1
quant_baseline,E04_event_010,event,E04,1,RR,39.9313713,True,0.848628699999999,False,False,False,RR,RR:40.78000000,1
quant_baseline,E04_event_011,event,E04,1,RR,39.59118279,True,0.84881721,False,False,False,RR,RR:40.44000000,1
quant_baseline,E04_event_012,event,E04,1,RR,39.81680014,True,0.8431998599999986,False,False,False,RR,RR:40.66000000,1
quant_baseline,E04_event_013,event,E04,1,RR,40.03318138,True,0.8468186200000005,False,False,False,RR,RR:40.88000000,1
quant_baseline,E04_event_014,event,E04,1,RR,39.68050279,True,0.8394972100000047,False,False,False,RR,RR:40.52000000,1
quant_baseline,E04_event_015,event,E04,1,RR,40.09908063,True,0.8409193699999946,False,False,False,RR,RR:40.94000000,1
quant_baseline,E04_event_016,event,E04,1,RR,39.54421066,True,0.8457893400000032,False,False,False,RR,RR:40.39000000,1
quant_baseline,E04_event_017,event,E04,1,RR,40.35729273,True,0.8427072700000053,False,False,False,RR,RR:41.20000000,1
quant_baseline,E04_event_018,event,E04,1,RR,39.88696896,True,0.8430310399999996,False,False,False,RR,RR:40.73000000,1
quant_baseline,E04_event_019,event,E04,1,RR,40.25328772,True,0.8467122799999984,False,False,False,RR,RR:41.10000000,1
quant_baseline,E04_event_020,event,E04,1,RR,39.84172981,True,0.8482701900000009,False,False,False,RR,RR:40.69000000,1
quant_baseline,E04_event_021,event,E04,1,RR,39.67515244,True,0.8448475600000052,False,False,False,RR,RR:40.52000000,1
quant_baseline,E04_event_022,event,E04,1,RR,40.29380778,True,0.8461922199999989,False,False,False,RR,RR:41.14000000,1
quant_baseline,E04_event_023,event,E04,1,RR,39.56095802,True,0.8490419799999955,False,False,False,RR,RR:40.41000000,1
quant_baseline,E04_event_024,event,E04,1,RR,40.2269723,True,0.8430277000000004,False,False,False,RR,RR:41.07000000,1
